Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,62,71500,63300,5048000,123825,469200,1625000,472500,20355000,272400,299700,665250,56050
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,187,74800,66250,5267500,129525,491200,1704000,494500,21495000,284900,312525,700500,58250
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,1573,379500,342000,26959750,668950,2544800,8774000,2555000,113010000,1466200,1626225,3682500,296900
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,8,7600,6650,556000,12975,49300,171000,49500,2145000,28600,30900,69000,5850
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,109,7300,6550,511250,12800,48500,168000,49000,2122500,28100,31050,69750,5750
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,11,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,4,1700,1500,125250,2975,11300,39000,11500,487500,6500,7050,15750,1350
AR101487259705933824,MANUEL E LLOSAS,,US,US-Federal,2,300,250,18750,450,1700,6000,2000,75000,1000,1125,2250,200
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,37,106200,95450,7471750,186675,706300,2456000,712500,31305000,411700,451950,1020750,85850
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,1,300,300,22500,550,2100,7000,2000,97500,1200,1350,3000,250
AR103092134365626368,NEOS Rathausklub,,"AT, EU",EU-Parliament,13,7800,7000,546250,13700,51800,180000,52500,2287500,30200,33150,75000,6400
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,1,3500,3150,241500,6125,23100,80000,23500,1020000,13400,14775,33000,2850
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,3,200,200,17500,425,1600,6000,1500,75000,1000,1050,2250,200
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,22,6400,5750,454000,11250,42800,148000,43000,1897500,24600,27375,62250,5000
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,12,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,14,15200,13550,1057750,26550,100800,350000,101500,4425000,58400,64650,145500,11950
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,4859,3623800,3238150,255520500,6333675,24009900,83181000,24174000,1058107500,13957800,15285075,34274250,2884550
AR106804085620998144,"EXACT DRIVE, INC.",EIN ID 27-1797458,US,US-Federal,6,0,0,250,0,0,0,0,0,0,0,0,0
AR106878165216919552,TROY KING FOR CONGRESS,EIN ID 84-2958173,US,US-Federal,1,0,0,500,25,100,0,0,0,0,0,0,0
AR108481940364984320,BIDEN FOR PRESIDENT,FEC ID C00703975,US,US-Federal,34,57600,52150,4115750,102000,386000,1348000,389500,17280000,226200,246975,557250,46500
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,US,US-Federal,9,400,350,30750,700,2700,9000,2500,120000,1500,1650,3750,300
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,US,US-Federal,571,277500,241650,20167500,472675,1795100,6234000,1802500,78135000,1040500,1126050,2508750,213300
AR109486619114864640,AKULA SATYANARAYANA,,IN,IN-General,2,400,350,27250,675,2600,9000,2500,112500,1500,1650,3750,300
AR109607840271826944,LIVE ACTION,EIN ID 42-1764425,US,US-Federal,1,0,0,1500,25,100,0,0,7500,100,75,0,0
AR109649346835775488,DANA OUTLAW FOR CONGRESS,FEC ID C00698787,US,US-Federal,14,1600,1450,112000,2800,10600,37000,10500,457500,6100,6825,15000,1250
AR109939068149694464,CENTER FORWARD,FEC ID C90012998,US,US-Federal,16,25500,22950,1841000,44850,170000,592000,171000,7515000,99300,108075,243750,20500
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,US,US-Federal,1,0,0,1500,50,100,1000,0,7500,100,75,0,0
