Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AT,,,963100,867950,67867750,1697675,6432700,22398000,6480000,285615000,3757600,4123350,9298500,765200
BE,,,438700,391950,30642500,766625,2908400,10096000,2927000,127260000,1684800,1865775,4206000,341400
BG,,,12100,10850,852750,21225,80600,279000,81000,3555000,46500,51600,117000,9450
CY,,,6900,6200,484000,12125,46000,160000,46000,2017500,26600,29475,66750,5400
CZ,,,54000,48300,3775000,94500,358500,1244000,360500,15697500,207700,229950,518250,42100
DE,,,811200,725950,56697000,1419925,5386900,18707000,5421000,236467500,3121700,3453825,7800000,634000
DK,,,639000,570650,44528500,1116175,4234200,14705000,4261500,185025000,2449100,2711850,6096000,500500
EE,,,22900,20450,1598500,39950,151600,526000,152500,6637500,87800,97275,219750,17800
ES,,,669500,598700,46795500,1171075,4446800,15410000,4470500,193890000,2570000,2849400,6369000,521250
FI,,,232900,207200,16149750,405300,1539200,5325000,1547000,66780000,889300,985875,2182500,179200
FR,,,13100,11700,921250,22900,86900,302000,87500,3817500,50500,55725,126000,10250
GB,,,96500,86900,6831000,169925,645200,2234000,648500,28560000,374500,412650,933000,76350
GR,,,1154100,1024250,80073000,2003625,7588200,26221000,7647000,331732500,4372000,4852275,10891500,909450
HR,,,39200,35100,2744750,68650,260600,905000,262000,11445000,151000,167100,378000,30750
HU,,,66900,60200,4713750,117750,446600,1554000,449500,19785000,259700,286125,647250,53150
IE,,,13900,12450,972500,24325,92200,320000,93000,4042500,53500,59100,133500,10900
IN,IN-AN,,5600,5050,394750,9875,37400,130000,37500,1627500,21700,24000,53250,4350
IN,IN-AP,,734100,653450,50744750,1278025,4854300,16799000,4878000,209475000,2805600,3107850,6813750,561000
IN,IN-AR,,5600,5050,395750,9900,37500,130000,38000,1627500,21700,24075,54000,4350
IN,IN-AS,,19900,17700,1388250,34650,131500,455000,132000,5677500,76000,84300,186750,15300
IN,IN-BR,,208700,186050,14584750,363925,1380300,4784000,1389000,60075000,799100,885375,1985250,160700
IN,IN-CH,,110300,98400,7707250,192425,729700,2529000,734500,31732500,422300,468150,1047750,84950
IN,IN-CT,,14900,13300,1040750,25975,98600,341000,99000,4275000,57000,63150,141000,11450
IN,IN-DD,,5800,5200,406000,10150,38500,134000,38500,1672500,22300,24675,54750,4500
IN,IN-DL,,315200,281050,21985000,549825,2085600,7219000,2098500,90540000,1205500,1337325,2979750,242400
IN,IN-DN,,5800,5200,406500,10175,38500,134000,39000,1672500,22300,24750,55500,4500
IN,IN-GA,,6600,5900,459750,11500,43600,151000,44000,1890000,25200,27975,62250,5050
IN,IN-GJ,,103500,92000,7205500,179900,683400,2361000,686500,29482500,394300,437625,965250,79400
IN,IN-HP,,43100,38400,3007750,75150,285100,988000,287000,12390000,164900,182850,408750,33150
IN,IN-HR,,127800,114000,8915250,223025,845900,2929000,851000,36772500,489000,542400,1210500,98250
IN,IN-JH,,22700,20250,1585250,39625,150400,520000,151000,6517500,86900,96375,213750,17500
IN,IN-JK,,15500,13800,1082250,27025,102600,355000,103000,4440000,59300,65775,146250,11900
IN,IN-KA,,46500,41350,3240250,80875,307100,1061000,308500,13252500,177400,196725,434250,35650
IN,IN-KL,,31700,28200,2206250,55150,209500,724000,210500,9037500,120800,134175,296250,24350
IN,IN-LD,,5600,5000,392750,9825,37200,129000,37500,1620000,21600,23925,53250,4350
IN,IN-MH,,401800,360200,28445000,704500,2678100,9253000,2690500,118147500,1544400,1712925,3859500,311150
IN,IN-ML,,5900,5250,412000,10300,39100,136000,39500,1695000,22600,25050,56250,4550
IN,IN-MN,,7100,6300,494250,12350,46900,162000,47000,2032500,27100,30075,66750,5450
IN,IN-MP,,196100,174750,13703000,341850,1297400,4492000,1305000,56250000,750100,831600,1851750,151100
IN,IN-MZ,,5700,5150,402750,10075,38200,132000,38500,1657500,22100,24525,54750,4450
IN,IN-NL,,5700,5100,399000,9975,37800,131000,38000,1642500,21900,24300,54000,4400
IN,IN-OR,,29300,26150,2049000,51150,194100,672000,195000,8392500,112300,124350,276000,22550
IN,IN-PB,,98300,87650,6865500,171475,650300,2253000,654500,28275000,376200,417150,932250,75700
IN,IN-PY,,6100,5450,426250,10650,40400,140000,40500,1755000,23400,25950,57750,4700
IN,IN-RJ,,205200,182850,14293000,357725,1357400,4695000,1365000,58845000,783900,870000,1932000,157650
IN,IN-SK,,5600,5050,396000,9900,37600,130000,38000,1635000,21700,24075,54000,4350
IN,IN-TG,,300900,267650,20821500,523425,1987900,6876000,1998000,85770000,1148900,1272750,2793000,230050
IN,IN-TN,,627600,555700,43506500,1086975,4131600,14244000,4147500,178350000,2377400,2644650,5817000,479750
IN,IN-TR,,6600,5900,463000,11575,43900,152000,44000,1905000,25400,28125,63000,5100
IN,IN-UP,,234800,209250,16375500,409275,1552900,5375000,1562000,67282500,897600,995250,2213250,180250
IN,IN-UT,,10100,9000,706500,17625,66900,232000,67500,2902500,38700,42900,95250,7800
IN,IN-WB,,243500,217300,17009000,425075,1611600,5586000,1622500,70192500,932900,1033950,2319000,187350
IT,,,227700,203650,15920000,398325,1511200,5244000,1520500,66240000,875400,968925,2186250,178050
LT,,,24300,21700,1697500,42475,161200,560000,162000,7065000,93500,103350,232500,19000
LU,,,1600,1400,108750,2725,10300,36000,10500,450000,6000,6600,15000,1200
LV,,,5800,5250,409250,10250,38900,135000,39000,1702500,22500,24900,56250,4600
MT,,,600,550,42250,1050,4000,14000,4000,172500,2300,2550,6000,450
NL,,,91600,82100,6406500,160575,609600,2118000,613000,26797500,353500,390825,883500,72150
PL,,,622800,563900,44010000,1103025,4183400,14550000,4211000,186727500,2442200,2679750,6074250,499200
PT,,,1300,1200,94500,2350,8900,31000,9000,390000,5200,5700,12750,1050
RO,,,647400,580550,45433250,1135575,4310100,14941000,4335500,189592500,2496800,2761950,6231000,506250
